instance,group,formulation,lower_bound,upper_bound,time,variables,constraints,optimal
j3021_2,j3021,discrete,59,59,39.08,1237,374,True
j3021_2,j3021,continuous,59,59,0.65,829,1556,True
j3021_3,j3021,discrete,76,76,3.71,1313,423,True
j3021_3,j3021,continuous,76,76,0.39,851,1597,True
j3021_4,j3021,discrete,70,70,161.3,1492,422,True
j3021_4,j3021,continuous,70,70,1.27,789,1492,True
j3021_5,j3021,discrete,55,55,23.29,1423,391,True
j3021_5,j3021,continuous,55,55,0.53,877,1643,True
j3021_6,j3021,discrete,76,76,57.66,1417,410,True
j3021_6,j3021,continuous,76,76,0.73,911,1694,True
j3021_7,j3021,discrete,65,65,39.32,1423,394,True
j3021_7,j3021,continuous,65,65,1.08,835,1558,True
j3021_8,j3021,discrete,62,62,8.3,1342,376,True
j3021_8,j3021,continuous,62,62,1.47,827,1555,True
j3021_9,j3021,discrete,69,69,81.5,1963,462,True
j3021_9,j3021,continuous,69,69,231.72,895,1664,True
j3022_10,j3022,discrete,55,55,0.58,676,339,True
j3022_10,j3022,continuous,55,55,1.28,1095,2084,True
j3022_1,j3022,discrete,42,42,0.14,391,261,True
j3022_1,j3022,continuous,42,42,0.12,1027,1999,True
j3022_2,j3022,discrete,45,45,0.4,886,325,True
j3022_2,j3022,continuous,45,45,0.11,925,1755,True
j3022_3,j3022,discrete,63,63,0.33,629,339,True
j3022_3,j3022,continuous,63,63,0.13,1015,1934,True
j3022_4,j3022,discrete,42,42,0.47,954,327,True
j3022_4,j3022,continuous,42,42,0.46,1057,1988,True
j3022_5,j3022,discrete,52,52,0.39,788,318,True
j3022_5,j3022,continuous,52,52,0.37,1109,2084,True
j3022_6,j3022,discrete,52,52,1.17,838,335,True
j3022_6,j3022,continuous,52,52,1.67,1057,1988,True
j3022_7,j3022,discrete,60,60,2.9,955,358,True
j3022_7,j3022,continuous,60,60,2.17,961,1819,True
j3022_8,j3022,discrete,55,55,4.53,838,316,True
j3022_8,j3022,continuous,55,55,7.92,1031,1935,True
j3022_9,j3022,discrete,76,76,0.2,1016,395,True
j3022_9,j3022,continuous,76,76,0.03,899,1716,True
j3023_10,j3023,discrete,61,61,0.08,463,333,True
j3023_10,j3023,continuous,61,61,0.02,937,1849,True
j3023_1,j3023,discrete,63,63,0.17,730,343,True
j3023_1,j3023,continuous,63,63,0.04,1017,1946,True
j3023_2,j3023,discrete,53,53,0.2,775,306,True
j3023_2,j3023,continuous,53,53,0.11,1023,1949,True
j3023_3,j3023,discrete,46,46,0.24,750,291,True
j3023_3,j3023,continuous,46,46,0.19,1021,1926,True
j3023_4,j3023,discrete,65,65,0.3,991,366,True
j3023_4,j3023,continuous,65,65,0.18,865,1649,True
j3023_5,j3023,discrete,52,52,0.25,882,325,True
j3023_5,j3023,continuous,52,52,0.2,1001,1888,True
j3023_6,j3023,discrete,48,48,0.3,778,316,True
j3023_6,j3023,continuous,48,48,0.18,1033,1956,True
j3023_7,j3023,discrete,60,60,0.33,1002,370,True
j3023_7,j3023,continuous,60,60,0.16,925,1753,True
j3023_8,j3023,discrete,48,48,0.14,411,283,True
j3023_8,j3023,continuous,48,48,0.03,1097,2129,True
j3023_9,j3023,discrete,63,63,0.71,953,367,True
j3023_9,j3023,continuous,63,63,0.23,1003,1889,True
j3024_10,j3024,discrete,53,53,0.15,625,299,True
j3024_10,j3024,continuous,53,53,0.03,1047,1999,True
j3024_1,j3024,discrete,53,53,0.09,575,293,True
j3024_1,j3024,continuous,53,53,0.02,1025,1962,True
j3024_2,j3024,discrete,58,58,0.1,670,317,True
j3024_2,j3024,continuous,58,58,0.03,1007,1921,True
j3024_3,j3024,discrete,69,69,0.14,582,367,True
j3024_3,j3024,continuous,69,69,0.03,953,1864,True
j3024_4,j3024,discrete,53,53,0.12,519,302,True
j3024_4,j3024,continuous,53,53,0.03,1065,2069,True
j3024_5,j3024,discrete,51,51,0.09,511,293,True
j3024_5,j3024,continuous,51,51,0.03,1065,2052,True
j3024_6,j3024,discrete,56,56,0.12,555,306,True
j3024_6,j3024,continuous,56,56,0.03,1071,2074,True
j3024_7,j3024,discrete,44,44,0.05,443,267,True
j3024_7,j3024,continuous,44,44,0.03,955,1863,True
j3024_8,j3024,discrete,38,38,0.05,361,239,True
j3024_8,j3024,continuous,38,38,0.02,1137,2210,True
j3024_9,j3024,discrete,43,43,0.02,243,258,True
j3024_9,j3024,continuous,43,43,0.02,1065,2136,True
j3025_10,j3025,discrete,58,58,87.3,1401,391,True
j3025_10,j3025,continuous,58,58,1011.2,847,1590,True
j3025_1,j3025,discrete,87,96,1200.0,2582,571,False
j3025_1,j3025,continuous,93,93,921.03,815,1506,True
j3025_2,j3025,discrete,67,75,1200,1762,451,False
j3025_2,j3025,continuous,68,77,1200,701,1305,False
j3025_3,j3025,discrete,71,84,1200,2261,499,False
j3025_3,j3025,continuous,59,80,1200,957,1776,False
j3025_4,j3025,discrete,67,97,1200,2021,491,False
j3025_4,j3025,continuous,70,82,1200,811,1489,False
j3025_5,j3025,discrete,64,78,1200,1624,415,False
j3025_5,j3025,continuous,60,73,1200,899,1672,False
j3025_6,j3025,discrete,51,64,1200,1351,379,False
j3025_6,j3025,continuous,49,60,1200,943,1755,False
j3025_7,j3025,discrete,80,99,1200,2267,551,False
j3025_7,j3025,continuous,89,95,1200,771,1441,False
j3025_8,j3025,discrete,57,75,1200,1936,439,False
j3025_8,j3025,continuous,62,70,1200,943,1742,False
j3025_9,j3025,discrete,79,93,1200,1912,499,False
j3025_9,j3025,continuous,84,84,1043.26,785,1471,True
j3026_10,j3026,discrete,49,49,0.55,873,327,True
j3026_10,j3026,continuous,49,49,978.76,1041,1972,True
j3026_1,j3026,discrete,59,59,0.46,1147,379,True
j3026_1,j3026,continuous,59,59,0.38,871,1648,True
j3026_2,j3026,discrete,40,40,0.11,510,263,True
j3026_2,j3026,continuous,40,40,0.17,1081,2082,True
j3026_3,j3026,discrete,58,58,0.24,821,339,True
j3026_3,j3026,continuous,58,58,0.31,977,1863,True
j3026_4,j3026,discrete,62,62,0.28,727,343,True
j3026_4,j3026,continuous,62,62,0.25,1089,2082,True
j3026_5,j3026,discrete,74,74,1.28,1108,416,True
j3026_5,j3026,continuous,74,74,1.0,963,1815,True
j3026_6,j3026,discrete,53,53,1.01,797,315,True
j3026_6,j3026,continuous,53,53,946.71,945,1802,True
j3026_7,j3026,discrete,56,56,0.25,1022,375,True
j3026_7,j3026,continuous,56,56,930.81,973,1840,True
j3026_8,j3026,discrete,66,66,0.34,901,359,True
j3026_8,j3026,continuous,66,66,0.19,1025,1934,True
j3026_9,j3026,discrete,43,43,2.47,738,295,True
j3026_9,j3026,continuous,43,43,526.68,1087,2039,True
j3027_10,j3027,discrete,62,62,0.08,774,339,True
j3027_10,j3027,continuous,62,62,0.03,1009,1935,True
j3027_1,j3027,discrete,43,43,0.13,564,279,True
j3027_1,j3027,continuous,43,43,0.22,1047,2013,True
j3027_2,j3027,discrete,58,58,0.08,697,323,True
j3027_2,j3027,continuous,58,58,0.04,1061,2031,True
j3027_3,j3027,discrete,60,60,0.2,1087,355,True
j3027_3,j3027,continuous,60,60,0.21,993,1877,True
j3027_4,j3027,discrete,64,64,0.22,1091,386,True
j3027_4,j3027,continuous,64,64,0.26,883,1682,True
j3027_5,j3027,discrete,49,49,0.25,860,335,True
j3027_5,j3027,continuous,49,49,0.88,1019,1921,True
j3027_6,j3027,discrete,59,59,0.25,1044,372,True
j3027_6,j3027,continuous,59,59,0.2,945,1792,True
j3027_7,j3027,discrete,49,49,0.34,615,311,True
j3027_7,j3027,continuous,49,49,0.54,1037,1975,True
j3027_8,j3027,discrete,66,66,0.3,1268,427,True
j3027_8,j3027,continuous,66,66,0.35,967,1829,True
