instance,formulation,lower_bound,upper_bound,time,variables,constaints
j3045_2,discrete,63.0,63.0,0.7,4075,365
j3045_2,continuous,63.0,63.0,0.05,533,853
j3038_6,discrete,63.0,63.0,0.47,4024,361
j3038_6,continuous,63.0,63.0,0.14,723,1361
j3012_7,discrete,54.99999999999999,54.99999999999999,1.05,5161,493
j3012_7,continuous,55.0,55.0,0.04,1245,2274
j3011_8,discrete,62.0,62.0,0.7,4518,429
j3011_8,continuous,62.0,62.0,2.42,1201,2197
j3024_7,discrete,44.0,44.0,0.5,3868,383
j3024_7,continuous,44.0,44.0,0.02,955,1769
j301_9,discrete,42.0,42.0,0.37,4090,401
j301_9,continuous,43.0,43.0,0.55,1125,2007
j3018_7,discrete,46.0,46.0,0.3,3533,375
j3018_7,continuous,46.0,46.0,0.08,869,1605
j3022_2,discrete,41.99999999999999,41.99999999999999,0.54,3607,371
j3022_2,continuous,45.0,45.0,0.3,925,1715
j3042_5,discrete,52.0,52.0,0.61,3901,397
j3042_5,continuous,52.0,52.0,1.18,847,1596
j3026_2,discrete,40.0,40.0,0.51,3839,367
j3026_2,continuous,40.0,40.0,0.19,1081,1997
j3040_8,discrete,56.99999999999999,56.99999999999999,0.69,4482,465
j3040_8,continuous,57.0,57.0,0.02,871,1638
j3037_7,discrete,54.0,54.0,0.63,4049,425
j3037_7,continuous,54.0,54.0,0.1,725,1273
j307_9,discrete,56.0,56.0,0.43,3781,313
j307_9,continuous,56.0,56.0,0.34,1181,2150
j3035_1,discrete,57.0,57.0,0.47,4599,469
j3035_1,continuous,55.0,55.0,0.08,767,1438
j3035_1,continuous,57.0,57.0,0.07,849,1595
j307_7,discrete,50.0,50.0,0.47,3980,353
j307_7,continuous,50.0,50.0,0.27,1189,2167
j3014_1,discrete,43.0,43.0,0.41,3381,313
j3014_1,continuous,61.0,61.0,2.34,1161,2127
j3014_1,continuous,50.0,50.0,21.72,1065,1959
j3034_3,discrete,64.0,64.0,0.48,3757,301
j3034_3,continuous,65.0,65.0,0.06,723,1355
j305_5,discrete,58.0,58.0,0.43,4064,365
j305_5,continuous,58.0,58.0,0.38,1037,1805
j306_2,discrete,50.0,50.0,0.52,4241,421
j306_2,continuous,50.0,50.0,0.87,1147,2083
j3024_5,discrete,51.0,51.0,0.48,4128,399
j3024_5,continuous,51.0,51.0,0.02,1065,1960
j305_9,discrete,38.0,38.0,0.51,3800,373
j305_9,continuous,42.0,42.0,3.71,1165,2080
j3028_9,discrete,62.0,62.0,0.69,4824,439
j3028_9,continuous,62.0,62.0,0.03,901,1682
j3025_9,discrete,50.0,50.0,0.53,4153,387
j3025_9,continuous,55.0,55.0,0.37,785,1359
j3030_9,discrete,44.0,44.0,0.74,4597,483
j3030_9,continuous,46.0,46.0,26.63,1121,2067
j3042_7,discrete,65.0,65.0,0.67,4018,333
j3042_7,continuous,66.0,66.0,0.64,779,1477
j3030_7,discrete,63.0,63.0,1.26,5040,495
j3030_7,continuous,68.0,68.0,8.65,933,1738
j3013_2,discrete,32.0,32.0,0.48,3872,417
j3013_2,continuous,35.491983203,51.0,976.55,1187,2084
j3026_8,discrete,62.99999999999999,62.99999999999999,0.47,3910,323
j3026_8,continuous,63.0,63.0,0.34,1025,1893
j308_9,discrete,39.0,39.0,0.67,4405,477
j308_9,continuous,39.0,39.0,0.03,1337,2435
j3016_9,discrete,44.0,44.0,0.36,3471,293
j3016_9,continuous,44.0,44.0,0.03,1169,2141
j3018_10,discrete,41.0,41.0,0.39,4095,455
j3018_10,continuous,41.0,41.0,0.16,1061,1941
j3019_9,discrete,38.0,38.0,0.34,3899,447
j3019_9,continuous,38.0,38.0,0.09,1069,1970
j3035_3,discrete,60.0,60.0,0.31,3537,341
j3035_3,continuous,60.0,60.0,0.02,803,1507
j3029_3,discrete,45.0,45.0,0.6,3921,415
j3029_3,continuous,55.0,55.0,3.97,825,1393
j3040_5,discrete,65.0,65.0,0.54,4182,397
j3040_5,continuous,65.0,65.0,0.02,793,1503
j3022_4,discrete,40.0,40.0,0.5,4411,483
j3022_4,continuous,42.0,42.0,0.34,1057,1955
j3028_2,discrete,57.0,57.0,0.67,4429,443
j3028_2,continuous,57.0,57.0,0.02,1009,1871
j3034_5,discrete,59.0,59.0,0.45,4110,401
j3034_5,continuous,59.0,59.0,0.07,843,1568
j3039_1,discrete,55.0,55.0,0.62,4315,425
